"CODMUNRES","n_nasc_vivos","ANONASC","Cardiopatias","Membros","Neural","Fendas","Microcefalia","nome","latitude","longitude"
"431085",41,2014,0,0,0,0,0,"Jaboticaba",-27.6347,-53.2762
"431087",22,2014,0,0,0,0,0,"Jacuizinho",-29.0401,-53.0657
"431090",33,2014,0,0,0,0,0,"Jacutinga",-27.7291,-52.5372
"431100",349,2014,0,2,0,0,0,"Jaguarão",-32.5604,-53.377
"431110",83,2014,0,0,0,0,1,"Jaguari",-29.4936,-54.703
"431112",50,2014,0,0,0,0,0,"Jaquirana",-28.8811,-50.3637
"431113",30,2014,0,0,0,0,0,"Jari",-29.2922,-54.2237
"431115",87,2014,0,1,0,1,0,"Jóia",-28.6435,-54.1141
"431120",250,2014,0,2,0,0,0,"Júlio de Castilhos",-29.2299,-53.6772
"431123",31,2014,1,0,0,0,0,"Lagoa Bonita do Sul",-29.4939,-53.017
"431125",74,2014,0,0,0,0,0,"Lagoão",-29.2348,-52.7997
"431127",12,2014,0,0,0,0,0,"Lagoa dos Três Cantos",-28.5676,-52.8618
"431130",347,2014,0,0,0,0,0,"Lagoa Vermelha",-28.2093,-51.5248
"431140",1119,2014,0,2,0,1,0,"Lajeado",-29.4591,-51.9644
"431142",25,2014,0,0,0,0,0,"Lajeado do Bugre",-27.6913,-53.1818
"431150",69,2014,0,2,0,0,0,"Lavras do Sul",-30.8071,-53.8931
"431160",68,2014,1,1,0,0,0,"Liberato Salzano",-27.601,-53.0753
"431162",92,2014,0,0,0,0,0,"Lindolfo Collor",-29.5859,-51.2141
"431164",8,2014,0,0,0,0,0,"Linha Nova",-29.4679,-51.2003
"431170",55,2014,0,0,0,0,0,"Machadinho",-27.5667,-51.6668
"431171",37,2014,0,0,0,0,0,"Maçambará",-29.1445,-56.0674
"431173",19,2014,0,0,0,0,0,"Mampituba",-29.2136,-49.9311
"431175",65,2014,0,0,0,0,0,"Manoel Viana",-29.5859,-55.4841
"431177",88,2014,0,0,0,0,0,"Maquiné",-29.6798,-50.2079
"431179",12,2014,0,0,0,0,0,"Maratá",-29.5457,-51.5573
"431180",527,2014,1,0,1,0,0,"Marau",-28.4498,-52.1986
"431190",48,2014,0,0,0,0,0,"Marcelino Ramos",-27.4676,-51.9095
"431198",29,2014,0,0,0,0,0,"Mariana Pimentel",-30.353,-51.5803
"431200",18,2014,0,0,0,0,0,"Mariano Moro",-27.3568,-52.1467
"431205",46,2014,0,0,0,0,0,"Marques de Souza",-29.3311,-52.0973
"431210",44,2014,0,1,0,0,0,"Mata",-29.5649,-54.4641
"431213",35,2014,0,0,0,0,0,"Mato Castelhano",-28.28,-52.1932
"431215",56,2014,0,0,0,0,0,"Mato Leitão",-29.5285,-52.1278
"431217",22,2014,0,0,0,0,0,"Mato Queimado",-28.252,-54.6159
